,,L1,A1,B1,L2,A2,B2,L3,A3,B3,L4,A4,B4,L5,A5,B5,,,
1/11/2560,16:23,53.2,-10.1,31.3,59.0,-9.6,33.9,53.5,-9.7,31.7,49.5,-11.2,31.0,51.3,-6.7,33.5,1424.9,52.0,22.1
2/11/2560,15:46,54.2,-9.8,31.9,58.5,-9.0,34.2,54.5,-9.2,31.3,48.9,-10.8,30.3,52.1,-5.2,33.3,1406.0,52.0,23.7
3/11/2560,15:12,54.6,-9.7,32.9,57.5,-9.2,34.4,54.2,-9.2,31.6,50.0,-11.0,32.3,52.6,-6.7,34.5,1387.2,51.4,24.4
4/11/2560,15:21,54.2,-9.4,33.3,58.6,-9.6,34.9,53.3,-9.4,32.2,50.3,-11.1,33.6,53.5,-6.0,34.2,1365.6,51.0,24.4
5/11/2560,12:08,54.8,-9.8,33.9,58.5,-9.4,34.8,53.8,-9.8,32.6,50.3,-11.1,33.5,53.2,-5.3,33.7,1346.6,51.6,25.8
6/11/2560,15:03,55.5,-9.7,34.2,58.4,-9.3,34.6,53.5,-9.5,32.2,50.8,-10.9,33.4,53.8,-2.5,32.0,1325.4,50.7,23.0
7/11/2560,16:04,54.6,-9.7,33.7,57.9,-9.2,35.0,53.6,-9.4,32.0,50.8,-10.9,33.5,53.9,-2.6,31.9,1307.8,50.5,25.4
8/11/2560,16:03,55.2,-9.6,34.1,58.5,-9.4,35.3,53.5,-9.3,32.2,51.1,-10.7,33.9,54.1,-7.4,35.4,1287.7,50.3,22.8
9/11/2560,15:55,54.9,-9.5,34.4,58.4,-9.0,35.0,53.4,-9.4,32.0,51.0,-10.8,34.3,54.0,-4.5,33.0,1270.7,50.0,23.0
10/11/2560,16:00,55.6,-9.3,34.8,57.9,-9.0,35.3,53.5,-9.3,32.6,51.6,-10.7,35.0,53.8,-3.5,32.1,1253.2,49.9,23.5
11/11/2560,16:12,55.5,-9.4,35.5,57.6,-9.2,35.9,53.6,-9.5,32.7,51.3,-10.8,34.7,53.7,-2.9,31.8,1237.1,49.6,23.0
12/11/2560,16:05,55.6,-9.5,36.1,57.9,-9.2,35.3,53.9,-9.3,33.2,51.3,-10.8,35.1,53.4,-3.7,31.8,1222.3,48.4,26.6
13/11/2560,16:00,54.9,-9.4,36.0,58.2,-8.9,35.8,53.6,-9.2,33.1,51.6,-10.8,35.4,53.7,-4.2,32.4,1208.1,49.4,25.4
14/11/2560,16:07,55.8,-9.3,36.1,58.3,-9.2,35.9,55.7,-9.2,33.3,51.9,-10.7,35.5,53.3,-5.1,32.6,1192.8,49.4,24.5
15/11/2560,16:30,55.4,-9.1,36.6,59.0,-8.9,36.3,53.9,-9.1,33.5,52.0,-10.7,36.0,53.2,-2.5,31.3,1177.2,49.2,21.1
16/11/2560,16:09,56.6,-9.4,37.3,58.7,-9.0,36.4,53.8,-9.1,34.2,51.4,-10.7,35.4,52.9,-4.4,32.6,1165.1,49.1,26.4
17/11/2560,,,,,,,,,,,,,,,,,,,
18/11/2560,,,,,,,,,,,,,,,,,,,
19/11/2560,,,,,,,,,,,,,,,,,,,
20/11/2560,,,,,,,,,,,,,,,,,,,
21/11/2560,,,,,,,,,,,,,,,,,,,
22/11/2560,,,,,,,,,,,,,,,,,,,
23/11/2560,,,,,,,,,,,,,,,,,,,
24/11/2560,,,,,,,,,,,,,,,,,,,
25/11/2560,,,,,,,,,,,,,,,,,,,
26/11/2560,,,,,,,,,,,,,,,,,,,
27/11/2560,,,,,,,,,,,,,,,,,,,
28/11/2560,,,,,,,,,,,,,,,,,,,
29/11/2560,,,,,,,,,,,,,,,,,,,
30/11/2560,,,,,,,,,,,,,,,,,,,
